century,tried,gadm.adm0
1600,5,Germany
1600,1,Germany
1600,1,Germany
1600,4,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,7,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,7,Germany
1600,1,Germany
1600,2,Germany
1600,4,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,4,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,14,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,8,Germany
1600,1,Germany
1600,12,Germany
1600,1,Germany
1600,2,Germany
1600,2,Germany
1600,2,Germany
1600,5,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,4,Germany
1600,1,Germany
1600,2,Germany
1600,5,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,5,Germany
1600,14,Germany
1600,2,Germany
1600,1,Germany
1600,4,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,5,Germany
1600,1,Germany
1600,4,Germany
1600,11,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,3,Germany
1600,1,Germany
1600,2,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Austria
1600,1,Austria
1600,1,Austria
1600,1,Austria
1600,1,Germany
1600,4,Germany
1600,85,France
1600,15,France
1600,8,France
1600,7,France
1600,14,France
1600,10,France
1600,11,France
1600,10,France
1600,10,France
1600,12,France
1600,14,France
1600,9,France
1600,9,France
1600,5,France
1600,4,France
1600,17,France
1600,7,France
1600,7,France
1600,3,France
1600,1,France
1600,2,France
1600,82,France
1600,14,France
1600,8,France
1600,6,France
1600,13,France
1600,9,France
1600,10,France
1600,10,France
1600,9,France
1600,12,France
1600,13,France
1600,9,France
1600,9,France
1600,5,France
1600,4,France
1600,16,France
1600,7,France
1600,6,France
1600,3,France
1600,1,France
1600,2,France
1600,60,France
1600,10,France
1600,6,France
1600,5,France
1600,10,France
1600,7,France
1600,7,France
1600,7,France
1600,7,France
1600,9,France
1600,10,France
1600,6,France
1600,7,France
1600,4,France
1600,3,France
1600,12,France
1600,5,France
1600,5,France
1600,2,France
1600,1,France
1600,1,France
1600,4,Germany
1600,3,Germany
1600,2,Germany
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
